Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,3,Time Waste !!,A-J2006_777,n/a,16/08/2025,"""Follow Karlo Yaar"" is a letdown because of how fake and made-up everything feels.The show doesn't seem real at all, with scenes that look more like they're scripted than showing actual moments from the influencers' lives. The so-called 'spontaneous' moments feel planned, and the dialogue sounds rehearsed. Instead of showing real, relatable stuff, the series is full of staged drama and forced situations.It ends up feeling like the show is trying too hard to grab attention, making it hard for viewers to genuinely enjoy or relate to it.To conclude, I would say not to watch this, it's just a sweet way to waste your time.",False
2,3,Keeping up with the DESI Kardashians,rjvyapari,n/a,16/08/2025,Everything is stolen from the Kardashians in Follow Karlo Yaar and it is so scripted..Looks like a replica of US based show.The sisters have obviously been told to keep fighting regularly on the show.... Even her business idea is taken from Skims - Kim's brand.... I actually only liked Asfi..... I hope she makes it big in Bollywood.... Uorfi is deluded and doesn't have humility..... My friends have loved her and think she is a badass but I feel she can be nicer to her sisters...... Especially urusa..... Dolly also needs to calm down a bit...... She is spunky but not everyone can become successful....,False
3,1,Trying to be Next Kardashians - she cant achieve 0.001% of Kardashians,mronline999,n/a,16/08/2025,"1st: Her behavior is questionable. If she desires the same level of respect and fame as Shah Rukh Khan, she should reconsider her actions. Despite claiming to disdain the paparazzi, she still relies on them for appearances. She should be more mindful of her position in the industry. While she may believe she is superior to other influencers, her content is often perceived as cringeworthy. She should remember the hard work and dedication it took for other stars like Shah Rukh Khan to achieve their success. If her arrogance continues, she should consider the potential consequences of a life less glamorous than Priyanka Chopra's.2nd: Her aspirations to become an entrepreneur are misguided. Entrepreneurship involves creating products or services that address people's needs or offer better alternatives to existing ones. Her current endeavors lack a clear understanding of market demand. While she may aspire to model for high-end brands, her audience is primarily accustomed to her extravagant and often frivolous fashion choices. Her career trajectory is largely defined by her appearances on television and Bigg Boss, and she has openly admitted that controversies and paparazzi attention have been instrumental to her success.Given her reliance on controversies and paparazzi, her career is likely to follow a similar path as other meme stars, as there will always be someone willing to outshine her. Her admission that no one wants to marry her, despite her desire for a traditional family life, highlights her addiction to fame, regardless of its source.At a relatively young age, she has resorted to cosmetic procedures that are more commonly associated with older celebrities like Shah Rukh Khan and Salman Khan. Her appearance without makeup reveals a more ordinary face, even compared to her sisters. This documentary serves as a cautionary tale about the pursuit of fame and success at any cost. While it may be tempting to take shortcuts, the long-term consequences can be detrimental.Ultimately, her content is often perceived as cringeworthy and a waste of time.",False
4,9,Hard working girl!,vishprime,n/a,16/08/2025,"She looks like a hard working girl ! I think we should admire that ! Its a good clean watch ! Its the reality of india, so many such families around ! I think she will only inspire many young girls to dream big. Yes her medium is questionable but to each its own !To be frank i have changed my perception about her after the show ! Lot more respect ! Yes she needs guidance! She is very careless with her health ! Etc ! With proper guidance and direction she and her sisters will do well ! Work hard and you will get there !!And she wants to be a business women !! This is something very interesting, hope she can one day !! My best wishes ! Hope to have many more seasons!And to people saying its a waste of time etc ( dont watch ), i think thats very rude ! She is a self made women , give her some respect !Cheers!",False
5,7,Worth watching if you want to get the idea of influencing world,jjendsouza,n/a,16/08/2025,"While the Javed family's drama might be a bit over the top, the series does offer an intriguing glimpse into the life of a famous influencer. It highlights the reality that influencers can't always make their own choices-everything from outfits to actions often requires approval from PR teams and agencies.Urfi, without a doubt, is a fierce and passionate individual. Her approach to money and fame may not resonate with everyone, and her methods for going viral have garnered mixed opinions. However, it's clear that there's more to her than just controversy. She's ambitious, hardworking, and talented-qualities that have helped her stay relevant online for nearly half a decade.The family drama could have been toned down, but given that the Indian audience enjoys some ""masala,"" it's understandable. Overall, I'd say the series is worth a binge-watch-certainly better than shows like Bigg Boss or Splitsvilla.",False
6,8,Worth watching,palsraviki,n/a,16/08/2025,"I really enjoyed this movie because it shows a great journey of a woman who works hard to achieve her dreams. What I liked most was the effort she puts in and her strong attitude toward making money. She doesn't give up, no matter how tough things get, and that really inspired me.The movie does a good job of showing how determined the main character is. You can feel her passion in everything she does, and it makes you want to cheer her on. Even when things don't go her way, she keeps pushing forward with a positive attitude. This makes her character feel real and relatable.I love how the movie shows her journey in a simple and down-to-earth way. It's not just about making money but also about her passion for what she does. You can tell that she really cares about her work, which makes the story even more enjoyable to watch. The movie doesn't make things easy for her, but it shows how hard work can pay off in the end.Overall, this film is a great reminder that with effort and a strong will, you can achieve your goals. It's not just a story about success; it's a story about dedication and passion, which makes it worth watching. If you like movies that focus on personal growth and never giving up, this one is for you.",False
7,10,Reflect Women Empowerment,tiyaj-27680,n/a,16/08/2025,Just now finished watching whole series..I must say I really loved Urfi Javed ..she is so talented n motivating ..throughout the series I observed that she is self made n this self made virtue of her is driving her .. Urfi you are very good you really inspire .. Guys go watch this series...I being a small influencer (my username on instagram: Tintinchakra) really recommend all to watch this series ..don't be judgemental about a person..you can't judge a book by its cover ..watch the series..this series really inspirational and reflects how a Middle class can achieve his or her goal with willpower..Kudos to Urfi love you 😍,False
8,10,"So astonishing and Amazing, the STAR, SELF MADE.",sincostanxyzpie,n/a,16/08/2025,"The series i didn't think it would be so real, realistic point of view of her and her life,the authentic, the genuine, the aura , the confidence THE URFI resonates my gawwwd is so freaking crazy,like WOW, Girl, go get it, your dream life, WE ARE HERE FOR YOU, WE HEAR YOU!!!!Can't wait for your brand to come out and see you in lots of fashion and business activities.Go Entrepreneur! You will do this. We believe in you too!Do what makes you feel bold and powerful and peace.Thanks for doing this show ""Follow kar lo yaar"" and made us see the different side of you, the real side of you! And kardiya follow yaar.... Yehhhhhyyaaah!!!!!!hearts hearts.",False
9,9,Fresh and raw!,thesassywedding,n/a,16/08/2025,"Was initially skeptical to watch thinking its just another scripted show, but got hooked to it from the first episode itself. It is a full on entertainment show. Uorfi proves why she is without any doubt the biggest viral sensation on the internet. She looks raw & authentic without any filters in this show. With all the family drama, it is a desi version of keeping up with the kadarshains. With so much details about her personal and professional life, you will not get bored at any point. In all its a perfect binge watch show, full of drama, comedy and lighted hearted moments. Already looking forward to season 2 of the series.",False
10,10,Deeply Layered and Insightful,ishwarchavan-63135,n/a,16/08/2025,"I loved the show. This is not a rip off of Kardashians. The show had depth and it was all about loving your twisted family. This is how families are - woh garha Bharte rehte hain. Every family under the surface has issues they don't talk about. This family verbalises it. I loved the family, the sisters and my favourites are Sahel and Asfi. They are #couplegoals. I hope they stay intact. But I feel that Sahel should do a regular job and keep his sanity. I cried in the end when she wore clothes by Abu Jani and Sandeep Khosla. I felt like I had lived her struggle. I hope there is a Season 2. PS - urusa should marry khalid.",False
