Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Movie that inspires gratitude,ivanaspark,n/a,16/08/2025,"This is not a movie about one of the hardest races in the world, it is about gratitude as an important character strength and life skill. This movie teaches us the value of being aware of and thankful and of taking the time to return kindness. It is a celebration of determination, hard work, courage and persistance. An uplifting story that shows that no matter how difficult the circumstances or challenges, how small or little we feel in life, we can still rise above them and make a difference. Thank you for this motivation and timeless reminder! Ko sme taj moze! Hvala!",False
2,10,Mindblowing,svizajedno,n/a,16/08/2025,"What an experience. One hour and twenty minutes of PURE emotion. Open your eyes and try to feel. Passion, anger, desire, despair, pride, happiness, agitation, love. EVERYTHING is there. You just need to open your eyes and your heart will be touched. Masterpiece.",False
3,10,This is must watch movie,Licivan,n/a,16/08/2025,"This movie contains very strong message for every day life of an ordinary person.
Very inspirational movie.
My absolute recommendation!
P.S. Be sure to watch the first part.",False
4,10,Must see sports documentary,Wlabla,n/a,16/08/2025,Great sports documentary with incredible footages of Italian Alps and powerful music background. Inspiring movie.,False
5,10,Inspirational!,mrbarovic,n/a,16/08/2025,"Great movie great quest great story!
If you are searching for motivation or inspiration this is it!",False
6,10,One of the most inspiring films you'll see.,dkmisa,n/a,16/08/2025,"Pure inspiration! Nothing Is impossible!
True story. Great example of power of will.",False
7,10,Great documentary!,pufnicaiv,n/a,16/08/2025,Really great documentary about inner journey of few brave people who decided to look deeply in their own souls by challenging their bodies to the maximum. Truly inspiring!,False
8,10,Great movie!,milosvuchkovic,n/a,16/08/2025,"Fantastic and true story about life, freedom, passion...",False
9,10,Soul ennobling,alekcrnomarkovic,n/a,16/08/2025,One of greatest caracter feat. Inner wealth... Need to see both documentary! Soul Ennobling!!!,False
10,10,"We don't run fast, we want to reach far...",dragantadic-84308,n/a,16/08/2025,This is one of the greatest viewing experiences I've ever had. Be prepared to grab your seat many times.,False
11,10,A days of Geants begins!,biljaiskic,n/a,16/08/2025,A film that will teach us gratitude for life and the effort we put in to rise beyneveryday life. Thank you for all! Sky is limit.,False
12,10,Great story!,darkinjo-78555,n/a,16/08/2025,Real heroes who never give up!Bravo!Tnx for inspiration,False
13,10,Phenomenal!,dusanrandjelovic,n/a,16/08/2025,A phenomenal movie about phenomenal people completing a super-human feat. Life-changing for the viewer!,False
14,10,With happy end🙂,bgbojanam,n/a,16/08/2025,One story about real life.... But with happy end. That is important to know...,False
15,10,Go as far as you can...and you will find yourself there,jelencher,n/a,16/08/2025,"A breathtaking artwork...a celebration of life, meaning of life, community. You will find motivation here, and learn that you can't really find yourself if you run fast...but you will meet yourself on the journey to the goal if you take your own pace and have the courage to face what your mind throws at you. There wouldn't be so much need for psychotherapists if you would let the mountain reflect back to you what you brought to it.
Who is ready for life? The one who decides that he is ready.",False
16,9,Great,maricaba,n/a,16/08/2025,The story about one jorney..the story about the life! Great movie!,False
17,10,Masterpiece,mmilicevic-02709,n/a,16/08/2025,With this movie you'll realise that things in life are that simple if you just decide to do it.,False
18,10,"Ko sme taj moze ,ko ne zna za strah taj ide napred !",leksosajcic,n/a,16/08/2025,"Great documentary movie ! Thank you Ultra Runner Serbia for showing us so many times that everything is possible if you believe enough and put effort every dan ..
For this 3 days I watch film 2 times ..
Big recommendation for everyone .
Much love and Respect to Ultra Runner Serbia keep moving ,in finish line is not end ...",False
19,10,"""I believe, so I'm not afraid..""",zolabrtesamowhey,n/a,16/08/2025,"Don't think, just try to feel and believe.. Even if there isn't proof of sth being possible, just believe.. Definitely a must-see movie for anyone!Believe..",False
20,10,Movie about you!,mirjananinkovic,n/a,16/08/2025,"Movie that makes you fall apart into pieces, and at the same time gives you guidelines how you should maybe change the way how you put your pieces back together. I was crying almost intire movie.",False
21,10,"True story movie, watched it two times!",andjelis,n/a,16/08/2025,"The best documentary movie about running and about life. Its so emotional and full of testimonies about human persistence.
I loved the story and music during the movie, and many dramatic moments.
Its so inspirational and cool!
I'm recommending it to everyone!",False
22,10,Great,constructageo,n/a,16/08/2025,............You must watch also the first part! Great both...,False
23,10,Inspiring II,nikolavasiljevic-00533,n/a,16/08/2025,Amazing and emotional story of incredible success ! Great music too!,False
24,10,Nothing is impossible,igordundic,n/a,16/08/2025,"A school teacher and a personal trainer go on a journey to pass 333km over the Alps without stopping, with just a few hours of sleep. The only way they can do it is together. The only way they can even show up on the start is together.Watch as they prove nothing is impossible. May it be so.",False
25,10,love this peoples,panajotovicmilan,n/a,16/08/2025,Spoiler...they are real giants...love this peoples...my inspiration every day,True
