Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Hardest working woman in showbiz,Davalon-Davalon,n/a,16/08/2025,"SpoilerI have read through some of the hateful reviews of ""Halftime"" on IMDB. My first impression is that people are jealous of J-Lo's success. Also, it seems that some people think she should be a different type of person than she is. They cannot seem to accept her as she is.First off, she wasn't ""crying"" when she learned she wasn't nominated for an Oscar. She was crying in reference to other comments that were written about her in an article which stated how hard she had been working and that she should be acknowledged.As for how many men she married: I'm sorry, what's it to you? Elizabeth Taylor, at one time the biggest star on the planet, married 8 times. So?One of the great moments in this documentary is where Jennifer reveals that she couldn't have done the NFL Halftime show when she was younger. She says she ""didn't even know"" who she was yet. I totally relate to this. She has finally been ""coming into her own."" She is a powerhouse of energy and commitment and dedication. She employs a team of people, she cares about others, she gives back to the community -- why do people hate her so much?Then people were going on ad nauseam about the fact that she was using ""pole dancing"" in the Halftime show. As if ""pole dancing"" was a worthless, despicable, low-life skill. She was incorporating the amazing skills she had gained by being in the movie ""Hustlers."" Which, by the way, she was great in. Outstanding.Yes, people around her fill her head with thoughts of greatness and that she ""deserved"" the Oscar. And certainly, based on all the media that supported her, it seemed that she might get an Oscar nod. It was a big deal because other than Rita Moreno (and now, Ariana DeBose -- but not at the time this documentary was made), who else of Latin heritage has been an Oscar contender?Jennifer sees life as an ""American"" and as a ""Puerto Rican."" This is one of the things that make her a unique celebrity. I do think that perhaps she misinterpreted what the halftime show was supposed to be and decided to make a statement -- I don't know if that was the right thing to do, but on the other hand, I understand why she did it.She has been insulted, degraded, laughed at for the majority of her career. And yet... she has persisted. And thrived. And succeeded.People are so incredibly stupid. They thought that because she ""ended up"" on American idol that that meant her career was ""over with.""None of those people remotely understand how precarious showbiz is, which she also talks about. You can be on top of the world one day and by the next, no one wants anything to do with you. As Jean Smart put it in ""Hacks,"" -- it never gets easier. It only gets harder and harder. And J-Lo has proved that she has the courage, guts and tenacity to continue.Yes, the show is all about her. Yes, she seems to love the attention. She has lived her life in the public eye and she shares a lot with us, maybe too much -- but on the other hand, she has a tough veneer, and she knows just how far she can go. She has risen to the top and if she never does anything else, she made her mark and opened doors for other women and men of color.",True
2,8,JLo The Perfectionist,nevenenvelop,n/a,16/08/2025,"Jennifer Lopez has always been a perfectionist. She never leaves a single stone unturned and this documentary is a marvelous example of the same. Performing hits after hits at the superbowl and offering a backstage look this is an amazing watch! JLo really showed why she's a force to be reckoned with. From captivating visuals to firecrackers to ginormous stages to intricate details to amazing choreography to live instruments and vocals (something we rarely see in pop culture anymore), JLo impressed the millions who watched the show and now will watch this Netflix Film!",False
3,8,New Respect for Ms. Lopez,vanessa70977,n/a,16/08/2025,"Without giving too much away the documentary shows us Jennifer's life from a new perspective, HER perspective. I would've never guessed that she felt that way about all the butt comments in interviews. The documentary also shows the results of those sexist remarks, and how she coped with it. JLo has gone through a lot these past two decades, and the documentary shows everything in a new light. Does this documentary make me want to go listen to her music or watch her films? Yeah, Do I have more respect for Jennifer? Without a doubt!",False
4,n/a,We literally just got rid of Amber's whining..,n/a,n/a,16/08/2025,"SpoilerTo move onto jlo's.Seriously, I don't know what she expects.When someone, anyone, who is a multi millionaire, privileged, accomplished and beautiful, no matter how they got there, when the average person, who has to scrape by, listens to this whining and martyrdom, they will not relate, they can't relate because they are too absorbed in their real problems such as childcare expenses, making the rent/mortgage, working, cleaning, etc. Etc.""Doing this for the people""? Girl, please... don't insult people's intelligence..
An Oscar for Hustlers? Is this a joke or is she too far gone?Just accept your damn fame and be grateful. You want to complain? Complain to your people. Otherwise it's embarrassing, cringe worthy and frankly, in very poor taste.",True
5,6,💪🏽💪🏽,samsp_,n/a,16/08/2025,"I can see why most of the reviews here saying Jennifer Lopez is so self absorbed, narcissist and such. But if only you can put yourself in her shoes, being a minority and trying to build herself up in the industry which still is to this day ruled by man I would probably have the same strong headed opinion, thus would make me like a bit**.And the hour of them all practicing only for good 7 minutes performance took a whole lotta effort which I doubt any of us could easily do it. And mind you she's 50. I have a whole respect to these performers.Yeah she could be a product, but she still killed it. Hands down.",False
6,6,Not as flattering as people think.,katiefanatic-791-306918,n/a,16/08/2025,"I'm a disabled Latina and I grew up with a very aggressive mother who had to fight for most of my rights. Because of this, I'm extremely turned off by these personality types. Despite my disability and my minority status as a Latina, I fully admit I have a problem taking up space, something Lopez has NO problem doing. Unfortunately for someone like me, it's extremely unflattering for me to watch a documentary of a personality type like this. While most people are praising her perseverance, I just heard whine after whine after whine of a very privileged person. You can't argue Lopez isn't a hard worker. She's one of my favorite actresses but her singing and dancing leave something to be desired. Maybe she should stop whining about the oscar nomination she didn't get (that she didn't deserve by the way. 'Hustlers' was terrible. ) and focus on becoming a better singer and dancer. Until then I can't feel pity for someone who has gotten by on how hot they are.",False
7,6,Too much victim mentality drama,silobm,n/a,16/08/2025,SpoilerAs for an icon like JLO it's very annoying that she was always playing low profile and down.. how about normal regular infamous people or even submerged stars whom are working hard to be heard and seen?? All the documentary she was complaining about injustice and discrimination and the end was so dramatic and politically oriented playing on the contrast!! I couldn't feel empathetic although I'm not white.. and her chewing gum all the time was not nice at all..,True
8,6,Love JLo but...,Mimzzzz,n/a,16/08/2025,"SpoilerI always loved JLo. There is no doubt that she is an icon and a global star especially If you know deeply her childhood. She achieved so much from nothing.I must admit that I did not liked the fact that she was so into political matter and that she wanted so strong to send her message throughout the Super Bowl performing. But the fact that the video was viewed so many many times online says that she succeded it. Regardlessly, she put a great show with Shakira.I recognized she is a narcisstic and maybe too much egoistic person who always wants more, but in my opinion she is truly a star.As for as her awards, I do not understand why would anyone think that she is a material to win such an award? Does she really thought that the Hustlers movie will win Oscars Academy hearts? Do not get me wrong but I love JLo's movie, I love to see her acting, but hello JLo - in what fairytale do you live in? LeonardoDiCaprio was waiting for too long to win his first Oscar and we talk about an exceptional actor.I know, we all have our hopes and dreams, but you do not need an Oscar to be successful and she is without it. She is firstly a singer and a dancer than an actor.JLo must admit to herself also one thing and that is that although she is a great superstar, her life is marked with her love life and tabloids. She just can not be alone, throughout her all life she was changing partners, not to mention her comeback to Affleck. She definitely has her own problems like we all do.All in all, her performing skills are beautiful and powerful and that is just it. Her performing, there is nothing exceptional, not her singing or her dancing but all in one if you know what I mean.",True
9,9,"Chaotic, but in the best way.",dphphuong,n/a,16/08/2025,"If you watch this in June 2022, chances are you're probably aware of all the bad presses/social media hate that JLo has received surrounding this documentary (i.e. ""rivalry with Shakira"", ""crying over Oscars snub""). Let's clarify this right away, all of the negativity was due to dialogues and scenes taken totally out of context for clickbait. Ironically enough, the media and societal treatment to JLo is one of the topics in this documentary, so it really drives home how after nearly 30 years in the business, this absolutely unfair, horrible treatment that people give to this woman remain nearly the same. But that adversity really puts into perspective of how special Jennifer Lopez - JLo - Jenny from the Block is. As it's said in the documentary, people really take her for granted. The documentary is chaotic because it juggles between her music, movie and personal life - but that's expected when you do a documentary about someone who can do it all successfully. One thing the documentary is very successfully at is showing how there's literally nobody else in the business doing what she does at her caliber. The amount of hard work, determination, stamina, strength and talent that it takes to juggles 3 and a half full time careers as a woman is insane. And yet, the industry hasn't been given her the recognition she deserves, and the hate from people that she receives due to misinformation is borderline bullying at this point. After watching this documentary, if you are a fan of JLo, you will grow to appreciate her discipline and drive even more. And if you are a hater, maybe you will take a look at how unfair you have been treating this woman - not everyone needs to be a fan, but one could really give credit where it's due and not fuel the hate.",False
10,7,She is a true fighter,mpanajotovic82,n/a,16/08/2025,"I don't listen J Lo as much, but I know some of her songs and I have wached many of her movies. She is really very talented person and she needs a validation. She is from flesh and blood. She is only a human and we all need for others to recognize us and acknowledge our hard work. I feel for her and hope she will be as briliant as she is and give the world more songs and movies.",False
11,1,Documentary as chaotic as JLO career,jgruszkos-31653,n/a,16/08/2025,"SpoilerWhat hits most in this so called documentary is whining. Whining about media attention, whining about being on front pages because of the way she dresses, whining about having to share a show with equally (or more) popular (and talented) artist and whining about the fact that she would like to be great at everything, but out of acting, singing and dancing only the last one is of decent quality. Half of the documentary is full of moaning about how her one decent(ish) movie is not pilled with awards and nominations when her whole career is full of cheap in plot and horrible in acting rom coms where all she does is to play herself. The other half is moaning about how she has to share a stage with Shakira, while in reality neither her voice or her songs qualify her to hold this kind of a show on her own. JLO wanted to bring attention to discrimination and sexism in American show business, but she is doing it in such a pretentious way that the message is getting lost in a sea of constant complaints and feeling sorry for herself. Shame as it could be a powerful message to fellow Latina women and the World in general, but what it ends up to be is yet another example of why Jennifer gained a reputation of being a diva.",True
